code,code_type,description,number_of_verified_relevant_records,top_capability_lanes,example_official_notices,active_target_count,award_receipt_count,registration_positioning_recommendation,confidence_score,limitations
531190,NAICS,Lessors of Other Real Estate Property,1,"AI Data Center Infrastructure","AFCEC-26-R-0002 (Air Force AI Data Center RFLP)",0,0,"SPECIALIZED NAICS. SBA size standard: $25.5M receipts. Only relevant for Air Force AI data center land lease proposal — not a core DefendableOS fit.",45,"Highly specialized — only relevant for real estate/infrastructure plays. DefendableOS should not prioritize this code."
522320,NAICS,Financial Transactions Processing,1,"Payment Fraud Analytics","47QRAB25R0002 (GSA SmartPay Fraud Analytics)",0,0,"SPECIALIZED NAICS. SBA size standard: $25.5M receipts. Only relevant for GSA SmartPay commercial payments fraud detection.",55,"Single opportunity. Only register if pursuing payment processing fraud analytics contracts through GSA."
334111,NAICS,Electronic Computer Manufacturing,1,"AI Hardware;GPU Procurement","N0017322Q0512 (NRL NVIDIA GPU Procurement)",0,0,"SPECIALIZED NAICS. SBA size standard: 1250 employees. Hardware manufacturing — not a core DefendableOS capability.",40,"Single hardware procurement. DefendableOS is a software/services company — not applicable unless expanding into hardware resale."
541519,PSC,DJ01 — IT and Telecom Security and Compliance Support Services (Labor),8,"Cybersecurity RMF;FISMA Compliance;Cyber Defense","PANAPG-26-P-0000041835 (Army RMF);70Z04425DESD40001 (USCG IA/RMF);FA521525Q0028 (PACAF FISMA);36C10B25Q0429 (VA ZARP);RFI-ICE-FY26-CCISS (ICE CDISS);VAOIG-RFI-26-0001 (VA OIG Case Mgmt);CISA Cyber Defense Training;8503 (IRS Fraud Analytics)",1,1,"PRIMARY PSC for cybersecurity services. Register under GSA MAS SIN 54151HACS which maps directly to DJ01. Covers RMF lifecycle support security compliance and cyber defense. Essential for Army Navy and DHS cyber opportunities.",94,"PSC codes were restructured April 2024 — ensure familiarity with new two-letter IT Tower format. DJ01 replaces legacy D310 codes. Most DoD cyber opportunities use this PSC."
541512,PSC,DG01 — IT and Telecom Network Support Services (Labor),1,"CISA Enterprise IT","PCCA2600032_CEEOSS (CISA Enterprise Eng)",0,0,"SECONDARY PSC. Primarily relevant for CISA enterprise engineering and IT operations support. Map to CISA CEEOSS recompete.",70,"Limited verified record count. Only critical if targeting CISA specifically. Most CISA work is large-business oriented."
541511,PSC,DA01 — IT and Telecom Business Application/Application Development Support Services (Labor),7,"AI Software Dev;Data Governance;Fraud Analytics;Enterprise Data","36C10B25Q0021 (VA AI Gov);2031JW26N00007 (OCC Enterprise Data);36C10E20Q0269 (VA VBA Accounting);HT0011-25-RFI-0222 (DHA Data Gov);PR20156685 (CBP Financial Close);CMS MDM/Enterprise Data Lake;A021537 (USSF SpOC CDO)",0,0,"PRIMARY PSC for application development and data management services. Maps to GSA MAS SIN 54151S. Used across VA Treasury DHA and civilian data governance opportunities. Essential for data governance-focused proposals.",92,"DA01 is one of the most common PSCs for civilian agency IT work. Combined with 541519 DJ01 covers the majority of DefendableOS opportunity pipeline."
513210,PSC,DA10 — IT and Telecom Business Application Software as a Service,4,"AI SaaS;Case Management;Evidence Management;Zero Trust","CDAO_26-01 (DoD AI Software Dev);2032L2-26-X-0001 (Treasury AI Model Access);VAOIG-RFI-26-0001 (VA OIG Case Mgmt);DOIDFBO250041 (DOI eERDMS)",0,0,"SECONDARY PSC for SaaS-based delivery. Relevant if DefendableOS delivers AI TEVV as a cloud-hosted platform. Maps to FedRAMP-authorized SaaS offerings.",80,"Growing importance as agencies shift to SaaS procurement. DA10 is the new IT Tower code replacing legacy product-focused classifications. Consider if DefendableOS offers a SaaS product component."
541715,PSC,AC12 — R&D Defense Systems,2,"AI Red Teaming;Adversarial AI;AI T&E","HR001125S0009 (DARPA SABER);N642672598000 (Navy LETHA)",0,0,"SECONDARY PSC for R&D-focused defense work. Maps to DARPA SABER and Navy LETHA opportunities. Required for SBIR/STTR defense R&D proposals.",85,"Essential for DARPA and defense R&D opportunities. Not used for services-only contracts — must have bona fide research component."
518210,PSC,DH10 — Platform as a Service,1,"Secure Enclave;Cloud Platform","75N95023R00015NOI (NIH N3C Enclave)",0,0,"TERTIARY PSC for platform/enclave opportunities. Primarily relevant for NIH N3C and similar secure data platform contracts.",65,"Single verified record. Only critical if pursuing NIH or HHS secure enclave contracts specifically."
541690,PSC,R499 — Support Professional Other,2,"AI Evaluation;Technical Consulting","CAW-25-0001 (NIST AISI Chem/Bio);36C10X22Q0038 (VA Data Mgmt IDIQ)",0,0,"TERTIARY PSC for professional services not covered by IT-specific PSCs. Legacy code still used by some agencies.",68,"Being replaced by new IT Tower codes but still appears in some solicitations. Register as supplementary only."
541715,PSC,AJ12 — General Science and Technology R&D Services,1,"Nuclear Cyber R&D","31310026R0012 (NRC Cyber/AI Reactors)",0,0,"SPECIALIZED PSC. Only relevant for NRC nuclear cybersecurity R&D opportunity.",60,"Single opportunity. Only register if targeting NRC specifically."
488210,PSC,AS11 — Transportation R&D (Basic Research),1,"Edge AI Transportation","RRS2026MRIP (FRA M-RIP Edge Computing)",0,0,"SPECIALIZED PSC. Only relevant for DOT/FRA edge AI transportation opportunity.",50,"Single opportunity. Not a priority for DefendableOS."
541715,PSC,AS12 — Transportation R&D (Applied Research),1,"Edge AI;V2X Communication","6913G626QSBIR1 (DOT SBIR Edge AI)",0,0,"SPECIALIZED PSC. Only relevant for DOT SBIR edge AI topics.",55,"Single opportunity. Only relevant if pursuing DOT SBIR Phase I/II for edge AI."
