title,agency,notice_type,posted_date,inactive_or_expired_date,capability_lane,demand_proved,Defendable_product_implication,NAICS,award_information_if_available,official_reference,limitations
Advanced Artificial Intelligence (AI) Training,Department of Veterans Affairs (VA),Sources Sought,2025-10-03,2025-10-17,AI TEVV / Trust / Evaluation,"VA needs AI TEVV training including adversarial testing, bias mitigation, transparency, NIST AI RMF compliance, and explainable AI for engineers and contracting professionals",AI TEVV Ledger could be incorporated into training curriculum as a hands-on tool for AI governance and evaluation,611430,Potential training contract follow-on expected,https://sam.gov/workspace/contract/opp/3516104ba14041038d1fe49c2ee8e15a/view,Sources Sought closed; follow-on timing TBD
RFI USAFE-AFAFRICA/A6 Risk Management Framework,Department of the Air Force (USAFE-AFAFRICA),Special Notice,2026-05-01,,AI TEVV / Trust / Evaluation,Air Force in Europe/Africa needs AI-driven automation for risk management framework improvement in cybersecurity operations,AI TEVV Ledger - risk management and documentation for AI-enhanced cybersecurity RMF,,No award; monitor for solicitation,https://sam.gov/workspace/contract/opp/0fdeeb0efdd34303bc73b6ac426808ce/view,RFI stage; no deadline posted; solicitation timeline unknown
CISA Enterprise Engineering and Operations Support Services (CEEOSS),Department of Homeland Security / Cybersecurity and Infrastructure Security Agency (CISA),Sources Sought,2025-12-11,2026-01-06,Cybersecurity / RMF / Continuous Monitoring,"CISA needs enterprise IT engineering and ops support with cybersecurity integration; recompete with increased scope due to CIRCIA, CISA mission adjustment, and AI priorities","AI TEVV Ledger - enterprise security architecture integration, continuous monitoring documentation for ITIL-based service delivery",541512,Incumbent: Sev1Tech LLC; recompete expected,https://sam.gov/workspace/contract/opp/41886423f7a74490a2fa09f3aa2ac6bd/view,Sources Sought closed; solicitation timeline not announced; incumbent advantage
Cybersecurity Services RFI 2025 - PM Intelligence Systems and Analytics,Department of Defense / Department of the Army (ACC-APG),Sources Sought (RFI),2025-05-05,2025-05-31,Cybersecurity / RMF / Continuous Monitoring,"Army PM IS&A needs RMF package development, cybersecurity engineering for intelligence systems, eMASS expertise, and cross-domain solutions for ATO","AI TEVV Ledger - RMF A&A package documentation, security control assessment tracking, cross-domain solution validation",541519,RFI closed; future solicitation expected,https://sam.gov/opp/28825a784472457489c4c5e1af180705/view,RFI only; actual solicitation timeline TBD; requires eMASS experience
Cybersecurity Support Services for Offutt AFB Defense Red Switch Network (DRSN),Department of Defense / Department of the Air Force (Air Combat Command),Combined Synopsis/Solicitation (RFQ),2026-01-26,2026-03-03,Cybersecurity / RMF / Continuous Monitoring,Air Force requires RMF/ISSO support for nuclear command and control communications; NC3 cybersecurity expertise for ATO maintenance and security documentation,"AI TEVV Ledger - RMF body of evidence documentation, continuous monitoring for nuclear communications security systems",541513,RFQ closed; award expected; next recompete ~2027,https://sam.gov/opp/5560559e7222475793a7cc2a0eaa9b5e/view,Small business set-aside; likely requires TS clearance; next recompete ~2027
FY25 PACAF Assessment and Authorization for FISMA and Cybersecurity Hardening,Department of Defense / Department of the Air Force (Pacific Air Forces),Solicitation (RFQ),2025-08-04,2025-08-12,Cybersecurity / RMF / Continuous Monitoring,"PACAF needs cybersecurity assessment teams for FISMA compliance, vulnerability management, EMSEC, cross-domain solutions, and CRR-M assessment capability in Pacific AOR","AI TEVV Ledger - cybersecurity assessment documentation, FISMA A&A tracking, vulnerability management records for CORA/CCORI criteria",541519,8(a) set-aside completed; future recompete likely FY26,https://sam.gov/workspace/contract/opp/3dc8821e9cbf4d3abbc933ea73a4ab45/view,8(a) set-aside; Hawaii/Pacific operations required; recompete timing TBD
Risk Management Framework (RMF) Services,Department of Commerce / National Institute of Standards and Technology (NIST),Sources Sought,2021-11-03,2021-11-24,Cybersecurity / RMF / Continuous Monitoring,"NIST (the RMF standards body itself) needs RMF automation support, ISCM program enhancement, risk scoring methodology, and Archer/eMASS expertise","AI TEVV Ledger - ISCM implementation, RMF automation, risk scoring documentation, NIST SP 800-53 compliance tracking",541512,No award data; NIST contracts favor mid-size firms; future recompete expected,https://sam.gov/workspace/contract/opp/0491ae8b03fe4a1bb9f9745715f722cb/view,Old (2021) but highly relevant as NIST is the RMF standards body; likely recompeted
Zero Trust Application Runtime Protection (ZARP),Department of Veterans Affairs (VA),Sources Sought (RFI),2025-07-08,2025-08-15,Cybersecurity / RMF / Continuous Monitoring,"VA executing Zero Trust Architecture Strategy (EO 14028); requires runtime application protection with FedRAMP Moderate/High, 24/7 SOC, 98%+ detection rate","AI TEVV Ledger - Zero Trust compliance documentation, runtime protection monitoring, FedRAMP ATO support documentation",541519,5-year contract anticipated; SDVOSB/VOSB set-aside expected,https://sam.gov/opp/10e1af61beec4aa5b61a6a7df1e31bc6/view,RFI stage; requires FedRAMP-authorized solution; GSA Schedule or VA-specific vehicle likely
Cybersecurity Hardening and Technology Modernization Strategies - Zero Trust,Department of Homeland Security (DHS),Justification,2025-10-15,2025-09-30,Cybersecurity / RMF / Continuous Monitoring,DHS actively implementing Zero Trust architecture; requires bridge support while competing full contract for cybersecurity hardening and technology modernization,"AI TEVV Ledger - Zero Trust architecture documentation, cybersecurity hardening compliance tracking, DHS-specific security documentation",541512,Awarded Sep 30 2025 to Bridgephase LLC as bridge contract; full recompete expected soon,https://sam.gov/workspace/contract/opp/8a096148452b4740b9af7351ae0f912a/view,Bridge contract awarded; full recompete expected but timeline unknown
Military Sealift Command (MSC) Cybersecurity Support Services (CSS),Department of Defense / Defense Information Systems Agency (DISA),Sources Sought,2025-08-19,2025-09-19,Cybersecurity / RMF / Continuous Monitoring,"MSC needs afloat/ashore cybersecurity support including OT security for ships, DoD/Navy cybersecurity compliance, vulnerability management, and 5-year contract delivery","AI TEVV Ledger - maritime cybersecurity assessment documentation, OT security tracking, RMF A&A for mission-based cyber risk assessments",541519,Sources Sought closed; solicitation expected soon; base period May 2026 - May 2027 + 4 option years,https://sam.gov/workspace/contract/opp/bed74835e0094e86bae8b5aa26fdb39b/view,Requires Navy/DoN cybersecurity experience; multi-location travel; solicitation timing TBD
Cybersecurity Management Services,Department of Defense / Defense Information Systems Agency (DISA),Sources Sought,2025-09-09,2025-09-25,Cybersecurity / RMF / Continuous Monitoring,DISA needs ongoing cybersecurity management support across multiple performance locations at Tinker AFB; small business set-aside recompete,"AI TEVV Ledger - DISA cybersecurity operations documentation, multi-location security management support",541512,Previous contract HC102822F0929; recompete opportunity,https://sam.gov/opp/cdb534f832384552be365efdfc062be3/view,Small business set-aside; full SOW in attachments; response to forthcoming solicitation required
Cyber Defense and Intelligence Support Services (CDISS),Department of Homeland Security / Immigration and Customs Enforcement (ICE),Sources Sought (RFI),2025-12-16,2026-01-24,Cybersecurity / RMF / Continuous Monitoring,ICE recompeting CDISS large cybersecurity support requirement; incumbent in OY4 ending Aug 2026; determining set-aside and contract vehicle,"AI TEVV Ledger - cyber defense operations documentation, intelligence support security tracking, DHS cybersecurity compliance",541512,Incumbent: 70CTD021FR0000232; recompete with set-aside determination in progress,https://sam.gov/workspace/contract/opp/8826104caa6f43328f17fadb7f8fca16/view,RFI only; incumbent advantage; set-aside decision pending
USCG Information Assurance (IA) Risk Management Framework (RMF) Support Services,Department of Homeland Security / US Coast Guard,Award Notice,2025-08-26,2025-08-26,Cybersecurity / RMF / Continuous Monitoring,"Coast Guard invested $160M in IA/RMF support via 8(a) set-aside, confirming sustained demand for RMF lifecycle expertise across Coast Guard systems","AI TEVV Ledger - RMF lifecycle documentation support, Coast Guard cybersecurity compliance tracking; follow-on recompete opportunity in ~5 years",541519,"$160,000,000 awarded to ONEOMEGA LLC (UEI: X42HKHSX66U1)",https://sam.gov/workspace/contract/opp/d2c7d3b69dc64e12a01fb88b0f4e9f05/view,Awarded; follow-on opportunities for subs; recompete expected in ~5 years
Defense Health Agency Data Governance: Transforming the Data Landscape,Department of Defense / Defense Health Agency (DHA),Sources Sought (RFI),2025-07-29,2025-08-28,Data Governance / Provenance / Validation,"DHA needs comprehensive data governance framework with data lineage tracking, metadata management, data quality standards, auditing processes, and lifecycle management for military healthcare","AI TEVV Ledger - data lineage tracking, metadata management, data quality validation documentation, audit process support for healthcare data governance",541512,12-month base period from Sep 2025; solicitation expected to follow RFI,https://sam.gov/workspace/contract/opp/0dd08c2ce29e4cf888e62c18bddb572e/view,Total small business set-aside; single base period; solicitation timing TBD
"VA Data Management, Data Analytics & Evidence-Based Policymaking RFI",Department of Veterans Affairs / Office of Data Governance and Analytics (DGA),Sources Sought (RFI),2021-12-08,2022-03-08,Data Governance / Provenance / Validation,"VA Chief Data Officer organization needs 12 task areas: metadata management, data quality, data validation, master data services, data governance, audit controls, and compliance oversight for VA Enterprise","AI TEVV Ledger - enterprise data quality validation tracking, metadata management documentation, audit and access control logging for data governance",541611,"Multiple Award IDIQ planned; supports VA EHR Modernization, Financial Management, and Supply Chain Modernization",https://sam.gov/opp/b0a3df7e38cf4024afaea7e8d850a4c3/view,Old (2021-2022) but comprehensive; may have been awarded or recompeted
VA Web-Based Tracking System (WBTS) Upgrade - Electronic Content Management System,Department of Veterans Affairs,Sources Sought,2004-11-03,2010-02-23,Data Governance / Provenance / Validation,"VA requires unalterable audit trails, chain of custody maintenance for legal admissibility, metadata management, electronic signature validation, and data integrity enforcement for records management","AI TEVV Ledger - unalterable audit trail generation, chain of custody documentation, electronic signature validation, records integrity enforcement",,Long-running requirement; demonstrates decades-long VA demand for audit trail and chain of custody capabilities,https://sam.gov/workspace/contract/opp/12c75bd9cb9773e2e41c6edb60a705e6/view,Very old (2004-2010); demonstrates persistent demand pattern but current status unknown
VA Data Quality Technical Analysis & Functional Support,"Department of Veterans Affairs / VHA Digital Health Office, Office of Health Informatics",Presolicitation,2025-02-27,2025-04-28,Data Governance / Provenance / Validation,"VA Data Quality Program needs clinical data quality requirements review, enterprise data quality implementation, person identity management, and data quality analysis/reporting","AI TEVV Ledger - clinical data quality validation tracking, enterprise data quality metrics, automated data quality assessment documentation",541611,SDVOSB set-aside; solicitation expected after presolicitation,https://sam.gov/opp/c023fb2a254940abb756a9edb94d632d/view,Presolicitation only; SDVOSB set-aside; clinical domain expertise required
CMS Master Data Management (MDM) and Enterprise Data Lake (EDL) Support Services,Department of Health and Human Services / Centers for Medicare and Medicaid Services (CMS),Justification (Follow-on),2024-09-10,2024-10-10,Data Governance / Provenance / Validation,"CMS requires master data management (golden records, data consolidation), enterprise data lake (centralized data storage and governance), and healthcare data quality validation/integration","AI TEVV Ledger - master data management documentation, data lake governance tracking, healthcare data quality validation",541512,Bridge extension for HHSM-500-2017-00042I; original competitive order established MDM and EDL capabilities,https://sam.gov/opp/cd7c55d96a7345089f00e5ada290971a/view,Bridge contract; full recompete expected but timeline unknown
HUD Enterprise Data and Resources Management Solution (eDARMS),Department of Housing and Urban Development / Office of the Chief Data Officer,Sources Sought (RFI),2024-12-17,2025-01-14,Data Governance / Provenance / Validation,"HUD needs enterprise data governance and management capabilities supporting Evidence Act (2018), Federal Data Strategy, and enterprise data analytics","AI TEVV Ledger - enterprise data governance documentation, evidence-based policymaking data quality tracking, Federal Data Strategy compliance",54151,Market research phase; solicitation expected to follow,https://sam.gov/opp/79a59aaf9c8247b882cf0f70d4ab9636/view,RFI stage; limited detail; timeline unknown
Space Operations Command Chief Data Office Enterprise Data Support,Department of the Air Force / US Space Force (USSF),Sources Sought (RFI),2022-04-05,2022-04-15,Data Governance / Provenance / Validation,"USSF SpOC needs data governance and standards, next-generation data maturity models, agile algorithmic solutions, and data analytics using ML/AI techniques for space operations","AI TEVV Ledger - data governance maturity assessment, ML/AI data analytics documentation, data quality standards for space operations",541512,12-month base + four 12-month options anticipated; CPFF contract,https://sam.gov/opp/be6df9a8d53543c09a9845558c4a6295/view,Old (2022); may have been awarded; demonstrates space force data governance demand
VA VBA Office of Financial Management Enhanced Accounting Capabilities,Department of Veterans Affairs / Veterans Benefits Administration,Sources Sought (RFI),2020-08-17,2020-09-23,Data Governance / Provenance / Validation,"VBA requires auditable change histories, clear data lineage tracking, data accuracy validation, and automated data cleansing/joining/preparation for financial reconciliation","AI TEVV Ledger - auditable change history generation, data lineage tracking documentation, data accuracy validation for financial systems",518210,FedRAMP Approved SaaS solution sought; RFI closed,https://sam.gov/workspace/contract/opp/322b766f890748eaaebfaeb1d90d419a/view,Old (2020); demonstrates persistent VA demand for data lineage and audit trail capabilities
DOI eMail and Enterprise Records and Document Management System (eERDMS),Department of the Interior / Interior Business Center,Special Notice (Intent to Award),2025-05-16,2025-06-15,Data Governance / Provenance / Validation,"DOI needs enterprise records management with chain of custody, audit trails for all actions, eDiscovery support, permanent records transfer to NARA per 36 CFR, and FISMA-moderate SaaS","AI TEVV Ledger - chain of custody documentation, audit trail generation, eDiscovery support, NARA compliance tracking for records management",518210,"Sole source bridge to The IQ Business Group, Inc.; May 2025 - May 2026 with options to Nov 2027",https://sam.gov/opp/4518ece841aa4c58885d343cfa0f0dad/view,Bridge contract; full recompete expected; sole source to incumbent
DOI Data Catalog Vocabulary (DCAT)-US 3.0 Schema,Department of the Interior / Interior Business Center,Sources Sought,2025-05-20,2025-07-04,Data Governance / Provenance / Validation,DOI requires federal data catalog standardization with DCAT-US 3.0 schema implementation and Enterprise Data Inventory solution compliant with Federal Data Strategy,"AI TEVV Ledger - data catalog documentation, metadata standardization, Federal Data Strategy compliance tracking for enterprise data inventory",,Sources Sought closed; solicitation expected,https://sam.gov/opp/8d51b9b14d074cec96a1e8fbca9e0c9d/view,Data standardization initiative; timeline unknown
USMC Data Management Cybersecurity Services,Department of Defense / US Marine Corps (MARCOR SYSCOM),Award Notice,2025-09-22,2025-10-07,Data Governance / Provenance / Validation,"USMC invested $100M in data management and cybersecurity services supporting MCTSSA mission of testing, engineering, integration, and evaluation - significant DoD investment in data management + security integration","AI TEVV Ledger - data management cybersecurity integration, test and evaluation documentation, secure data governance for military operations",,"$99,995,410.00 awarded to Lumbee IT Solutions LLC",https://sam.gov/opp/5dc733dc9be74040aa7173e030239341/view,Award completed; recompete opportunity in future cycle
VA Data Management & Modernization (DMM) Support Services,Department of Veterans Affairs / Technology Acquisition Center NJ,Sources Sought (RFI),2025-05-15,2025-07-28,Data Governance / Provenance / Validation,VA seeking data management and modernization support services; ongoing VA investment in data management infrastructure modernization,"AI TEVV Ledger - data management modernization documentation, data governance process mapping for VA infrastructure",541519,RFI closed; solicitation expected,https://sam.gov/opp/5f61f240c87749edac8f9ec30949bded/view,Limited description in SAM.gov; references attached documents not publicly accessible
OCC Enterprise Data Management Support Services,Department of the Treasury / Office of the Comptroller of the Currency (OCC),Presolicitation (Special Announcement),2026-03-17,2026-04-15,Data Governance / Provenance / Validation,OCC (banking regulator) requires comprehensive enterprise data management support services; using GSA Alliant 2 GWAC suggesting significant requirement,"AI TEVV Ledger - enterprise data management documentation, data governance for financial regulatory compliance",541511,Anticipated solicitation Q3 FY 2026; GSA Alliant 2 vehicle,https://sam.gov/workspace/contract/opp/114d7a14e47f49da890371360c13c0b8/view,Presolicitation only; limited detail; Alliant 2 GWAC required
IRS Cybersecurity Fraud Analytics and Monitoring Support,Department of the Treasury / Internal Revenue Service (IRS),Sources Sought,2025-06-12,2025-07-12,Fraud Analytics / Financial Crime,"IRS needs advanced cybersecurity fraud analytics and monitoring to prevent and detect fraudulent activity in online applications, taxpayer data, and tax revenue from adversaries using breached personal data","AI TEVV Ledger - fraud analytics documentation, threat detection logging, cybersecurity monitoring compliance for tax revenue protection",541330,Originally total small business set-aside; updated to no set aside; solicitation expected,https://sam.gov/opp/67d14c425af946488f7b5537637a9b4e/view,IRS active recurring program; set-aside changed; follow-on expected
RFI - Cybersecurity Fraud Analytics and Monitoring (IRS),Department of the Treasury / Internal Revenue Service (IRS),Sources Sought,2024-05-10,2024-06-15,Fraud Analytics / Financial Crime,"IRS sought comprehensive fraud analytics and 24x7 monitoring with forensic analytics, predictive analytics, MLOps, Splunk/Elasticsearch/Kibana, and continuous model enhancement for tax ecosystem","AI TEVV Ledger - forensic analytics documentation, predictive model monitoring, SIEM integration for fraud detection, continuous model evaluation tracking",541512,Preceded 2025 Sources Sought; demonstrates continuing IRS fraud analytics program,https://sam.gov/opp/26d88110d9194b43a41d98179ce8b34c/view,Older RFI; superseded by 2025 Sources Sought; demonstrates multi-year program continuity
VA OIG Investigative Case Management System,Department of Veterans Affairs / Office of Inspector General (VA OIG),Sources Sought (RFI),2026-03-20,2026-04-17,Fraud Analytics / Financial Crime,VA OIG needs commercial off-the-shelf (COTS) Investigative Case Management System for Office of Investigations; validates sustained OIG demand for case management,"AI TEVV Ledger - investigative workflow documentation, case management audit trails, OIG compliance tracking for investigations",513210,RFI closed; COTS solution being evaluated; future solicitation likely,https://sam.gov/workspace/contract/opp/19c638bcb7014027aa81eb40487a1b4b/view,RFI for COTS only; timeline for acquisition unknown
DOJ OIG Investigation Case Management System (IDMS),Department of Justice / Office of the Inspector General (DOJ OIG),Sources Sought,2021-04-20,2021-05-29,Fraud Analytics / Financial Crime,"DOJ OIG needs web-accessible, FISMA-compliant, cloud-hosted (GCC High) Investigations Case Management System managing all phases from allegation to disposition","AI TEVV Ledger - FISMA compliance documentation, case lifecycle tracking, GCC High cloud security documentation for OIG investigations",541512,Market research; no award data; demonstrates cross-agency OIG demand,https://sam.gov/opp/b83f1347887b43949c560bd62204017e/view,Old (2021); cross-agency OIG demand pattern confirmed
NGA Case Management Tracking System,Department of Defense / National Geospatial-Intelligence Agency (NGA),Sources Sought,2021-04-26,2021-05-25,Fraud Analytics / Financial Crime,NGA OIG needs FedRAMP-certified cloud-hosted Investigations Case Management System with secure processing and customizable administrator controls,"AI TEVV Ledger - FedRAMP compliance documentation, case management security tracking, secure workflow documentation for IC investigations",511210,Market research; demonstrates IC OIG demand for secure case management,https://sam.gov/opp/50ff6d9d949c47878df9bc289b797e25/view,Old (2021); FedRAMP-certified cloud requirement; demonstrates IC demand
NTSB Evidence Management Software,National Transportation Safety Board (NTSB),Combined Synopsis/Solicitation,2023-08-10,2023-08-30,Fraud Analytics / Financial Crime,NTSB needs commercial evidence management software with chain of custody standards for transportation accident investigation; unique investigative protocols requiring different care/custody/control standards,"AI TEVV Ledger - chain of custody documentation, evidence management tracking, specialized investigative protocol compliance for transportation safety",513210,Base year plus 4 option years (FY24-FY29); full and open competition,https://sam.gov/workspace/contract/opp/923fb2b6c901464d940047b3aff1e0b6/view,Niche domain (transportation accidents); 5-year contract with options
GSA Commercial Payment Solutions - SmartPay (Fraud Analytics),General Services Administration / Federal Acquisition Service,Solicitation (CSO),2025-06-30,2026-02-19,Fraud Analytics / Financial Crime,"GSA seeks commercial payments platform with fraud analytics, data mining, and information security for purchase, travel, and fleet charge card management government-wide","AI TEVV Ledger - fraud analytics documentation, payment security monitoring, data mining compliance for government-wide payment systems",522320,CSO under Section 880 FY17 NDAA; pilot project; Phase I due Aug 2025,https://sam.gov/opp/6dce46b1d24b4f4fb2f02437a467ee52/view,Innovative procurement vehicle; pilot project scope; multi-phase
HUD Unified Grants Systems - Recipient Analytics Platform (HUGS-RAP),Department of Housing and Urban Development (HUD),Sources Sought,2026-03-13,2026-04-14,Fraud Analytics / Financial Crime,"HUD seeks software for grants fraud detection, waste/abuse identification, automated compliance monitoring; 2026 HUGS Analytics pilot validated ability to reduce manual reconciliation and identify fraud","AI TEVV Ledger - fraud detection documentation, grants compliance monitoring, waste/abuse identification tracking for federal grants programs",511210,Operationalizes and scales validated 2026 pilot outcomes across HUD grants programs,https://sam.gov/opp/0ce17fef2c884bb69cafff9bd45a5f12/view,Sources Sought closed; scales prior pilot; solicitation timeline TBD
DOE/PNNL On-Premises Next-Gen AI Compute Data Center,Department of Energy / Pacific Northwest National Laboratory (PNNL),Sources Sought (RFI),2026-02-25,2026-04-11,Secure Local AI / Compute / Enclaves,DOE/PNNL needs scalable on-premises secure AI data center for training and operationalization of multi-data LLMs; 2-40 MW capacity for scientific and national governmental missions,"AI TEVV Ledger - on-premises AI compute documentation, security compliance for LLM training, multi-data model governance for national laboratory environments",518210,RFI closed; massive infrastructure procurement expected; production readiness targeted 2028,https://sam.gov/opp/6e60c77c72204a7a8edb3c30b18dc218/view,Infrastructure RFI; massive scale (up to 40 MW); long procurement timeline to 2028
Air Force AI Data Center Development at Multiple Air Force Bases,Department of the Air Force / Air Force Materiel Command,Solicitation (RFLP),2025-10-15,2025-11-29,Secure Local AI / Compute / Enclaves,"Air Force soliciting AI data centers on 5 installations (Arnold, Davis-Monthan, Edwards, JBMDL, Robins); >100MW, >$500M capital expenditure per EO 14179 and EO 14318","AI TEVV Ledger - AI data center security documentation, infrastructure governance for DoD AI compute environments",531190,RFLP closed; multi-site procurement; aligned with EO 14179 (AI leadership) and EO 14318 (data center infrastructure),https://sam.gov/workspace/contract/opp/e74af0fe0e03406e80488d7f5c538baa/view,Real property lease; massive capital requirement; multi-site; EO-aligned
DOE/NNSA AI Infrastructure and Energy Generation,Department of Energy / National Nuclear Security Administration (NNSA),Solicitation (RFP),2025-10-01,2025-12-06,Secure Local AI / Compute / Enclaves,"NNSA Savannah River Site soliciting AI data center with energy generation infrastructure, cooling, transmission, and storage for secure nuclear security AI compute","AI TEVV Ledger - secure AI infrastructure documentation, energy/compute governance for NNSA mission-critical AI systems",51821,RFP closed; long-term lease at SRS South Carolina,https://sam.gov/workspace/contract/opp/bf8cc2391a8644b88332f9218f2ea098/view,Long-term real property lease; NNSA security requirements; complex financing
NIH/NIA Data Access Program - Federated Enclave,Department of Health and Human Services / National Institute on Aging (NIA),Presolicitation,2025-12-15,2027-01-14,Secure Local AI / Compute / Enclaves,"NIA needs Government-Owned, Contractor-Operated (GOCO) federated enclave for storage, analysis, and distribution of linked CMS datasets; sensitive data hosting with additional federal dataset linkage","AI TEVV Ledger - federated enclave security documentation, data linkage governance, sensitive data handling compliance for health research",541611,Presolicitation; expanding Data Access Program for NIA grantees,https://sam.gov/opp/180e97fe5cab4693b99f561c5ede9778/view,Presolicitation only; GOCO model; sensitive health data; timeline extended to 2027
